Taxa,trnL-LF,rbcL,ITS,matK
Abdra aprica,GU202564.1,,GU202443.1,
Abdra brachycarpa,DQ467107.1,,DQ467618.1,
Athysanus pusillus,GU246241.1,,GU246183.1,
Draba acaulis,DQ466967.1,,DQ467276.1,
Draba affghanica,DQ467152.1,,DQ467377.1,
Draba aizoides,DQ466991.1,JN892645.1,GU202436.1,JN894535.1
Draba alberti,AY134348.1,,AY134147.1,
Draba albertina,DQ467219.1,,DQ467647.1,
Draba alpina,DQ467080.1,JN965471.1,DQ467458.1,KC474550.1
Draba altaica,GU202685.1,JF941438.1,JF976267.1,
Draba alyssoides,AF146904.1,,AF146456.1,
Draba amoena,AY900408.1,,DQ467388.1,
Draba amplexicaulis,DQ466961.1,,DQ467272.1,
Draba arabisans,GU202688.1,,DQ467504.1,
Draba araratica,DQ466962.1,,DQ467273.1,
Draba arctica,GQ244850.1,KC482546.1,DQ467511.1,KC474554.1
Draba arctogena,GQ244851.1,,,
Draba aretioides,AY900423.1,,DQ467582.1,
Draba argentifolia,GU202873.1,,Ingrid_MO73,
Draba arseniewii,GU202691.1,,GU202447.1,
Draba asprella,AY900435.1,,AY047662.1,
Draba athoa,AY900367.1,,DQ467274.1,
Draba aubrietioides,DQ467050.1,,DQ467389.1,
Draba aucheri,KF547703.1,,FJ187866.1,
Draba aurea,DQ467212.1,JN965474.1,DQ467275.1,JN966259.1
Draba aureola,AF146965.1,,AF146509.1,
Draba bagmatiensis,AY134347.1,,,
Draba baicalensis,,,FM957487.1,
Draba barbata,DQ467013.1,,DQ467319.1,
Draba barclayana,AF147023.1,,AF146449.1,
Draba bellardii,Ingrid_MO23,,AF146446.1,
Draba bellii,DQ467089.1,,DQ467514.1,
Draba beltranii,KC412355.1,,KC412300.1,
Draba bhutanica,AY900335.1,,DQ467336.1,
Draba bifurcata,KC412356.1,,KC412301.1,
Draba borealis,AY900369.1,,DQ467465.1,
Draba boyacana,AF146947.1,,AF146500.1,
Draba brachystylis,KC412357.1,,KC412302.1,
Draba brackenridgei,GU202875.1,,,
Draba breweri,GQ244853.1,,DQ467519.1,
Draba bruniifolia,DQ466970.1,,DQ467251.1,
Draba bryoides,DQ466971.1,,,
Draba burkei,,,AY047684.1,
Draba cachemirica,AY134203.1,,DQ467394.1,
Draba cana,AY900432.1,,DQ467629.1,
Draba cappadocica,DQ467157.1,,DQ467590.1,
Draba cardaminiflora,DQ467038.1,,,
Draba carinthiaca,DQ467145.1,,,
Draba caroliniana,AY900297.1,,,
Draba chionophila,AF147024.1,,AF146447.1,
Draba cholaensis,,,DQ467395.1,
Draba cinerea,DQ466972.1,KC482563.1,DQ467312.1,KC474564.1
Draba cocuyana,GU202878.1,,Ingrid_MO36,
Draba confertifolia,GU202580.1,,GU202458.1,
Draba confusa,,,DQ467307.1,
Draba corrugata,KC412409.1,,KC412303.1,
Draba corymbosa,GU202703.1,KC482581.1,GU202460.1,KC474589.1
Draba crassa,DQ467207.1,,DQ467634.1,
Draba crassifolia,DQ467204.1,KC482588.1,AF146482.1,
Draba cretica,GU202881.1,,KC412304.1,
Draba cruciata,AF146990.1,,AF146483.1,
